Rk,Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Prob%
1,Nikola Jokić,DEN,52,28,.650,64,64,35.1,10.0,17.5,.569,1.7,4.6,.379,8.2,12.9,.636,.618,6.1,7.4,.828,2.9,10.0,12.9,10.9,1.4,0.8,3.8,2.7,27.8,,64.6%
2,Shai Gilgeous-Alexander,OKC,64,16,.800,68,68,33.2,10.8,19.4,.553,1.7,4.4,.386,9.1,15.0,.602,.597,7.9,9.0,.879,0.6,3.7,4.3,6.6,1.4,0.8,2.2,2.0,31.1,,26.6%
3,Luka Dončić,LAL,50,29,.633,64,64,35.8,10.8,22.8,.476,4.0,10.8,.366,6.9,11.9,.575,.563,7.9,10.1,.780,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,,3.3%
4,Victor Wembanyama,SAS,61,19,.762,63,54,29.2,8.6,16.8,.510,1.9,5.4,.350,6.7,11.3,.587,.567,5.7,7.0,.825,2.0,9.5,11.5,3.1,1.0,3.1,2.4,2.5,24.8,,2.6%
5,Jalen Duren,DET,58,22,.725,69,69,28.3,7.4,11.5,.649,0.0,0.0,,7.4,11.5,.649,.649,4.6,6.2,.744,3.8,6.8,10.6,1.9,0.8,0.9,1.9,2.8,19.5,,0.9%
6,Jamal Murray,DEN,52,28,.650,75,75,35.4,8.8,18.1,.483,3.3,7.5,.435,5.5,10.6,.517,.573,4.6,5.2,.887,0.4,4.0,4.4,7.1,0.9,0.4,2.3,1.7,25.4,,0.5%
7,Chet Holmgren,OKC,64,16,.800,69,69,28.9,6.3,11.3,.557,1.3,3.5,.362,5.0,7.8,.646,.614,3.3,4.1,.792,1.9,7.0,8.9,1.7,0.6,1.9,1.6,2.3,17.1,,0.5%
8,Jaylen Brown,BOS,54,25,.684,70,70,34.5,10.4,21.9,.476,2.0,5.7,.344,8.4,16.1,.523,.521,6.0,7.6,.796,1.2,5.8,7.0,5.2,1.0,0.4,3.6,2.7,28.8,,0.4%
9,Kevin Durant,HOU,50,29,.633,76,76,36.4,9.1,17.6,.517,2.4,5.8,.413,6.7,11.8,.569,.585,5.2,5.9,.878,0.5,4.9,5.4,4.7,0.8,0.9,3.2,1.8,25.8,,0.4%
10,Karl-Anthony Towns,NYK,51,28,.646,73,73,31.0,6.9,13.8,.499,1.5,4.1,.370,5.4,9.7,.554,.554,4.8,5.6,.855,3.1,8.7,11.9,3.0,0.9,0.5,2.5,3.4,20.1,,0.4%